objectid,stationcode,sampledate,fieldreplicate,sampletypecode,fieldsampleid,labsampleid,labbatch,analysisdate,labreplicate,matrixname,methodname,analytename,fractionname,unit,dilfactor,result,resqualcode,mdl,rl,qacode,expectedvalue,labagencycode,labresultcomments,globalid,created_user,created_date,last_edited_user,last_edited_date,login_email,login_agency,login_owner,login_year,login_project,lastchangedate,submissionid,legacy,projectcode,chemistryresultsrecordid,chemistrybatchrecordid
1228,SMC00873,2009-05-18T07:00:00Z,1,Grab,WR153046,Not Recorded,6316016,2009-05-21T07:00:00Z,1,sediment,SM 4500-H+ B,pH,Not Recorded,none,1,7.7999999999999998,=,0.1,0.2,None,-88,CRGML,NA,{00000000-0000-0000-0000-000000000000},NA,NA,NA,NA,NA,NA,NA,NA,NA,2018-06-11T22:25:57Z,3325,NA,NA,22335,733
1294,SMC00206,2009-05-18T07:00:00Z,1,Grab,WR153041,994956,234517,2009-05-20T07:00:00Z,1,samplewater,EPA 120.1,ElectricalConductivity,Total,umhos/cm,1,1410,=,1,1,None,-88,ASL,NA,{00000000-0000-0000-0000-000000000000},NA,NA,NA,NA,NA,NA,NA,NA,NA,2018-06-11T22:25:35Z,3325,NA,NA,22401,729
1295,SMC00206,2009-05-18T07:00:00Z,1,Grab,WR153041,994956,234517,2009-05-20T07:00:00Z,1,samplewater,EPA 180.1,Turbidity,Total,NTU,1,3.8500000000000001,=,0.2,0.2,None,-88,ASL,NA,{00000000-0000-0000-0000-000000000000},NA,NA,NA,NA,NA,NA,NA,NA,NA,2018-06-11T22:25:35Z,3325,NA,NA,22402,729
1300,SMC00206,2009-05-18T07:00:00Z,1,Grab,WR153041,994956,234517,2009-05-19T07:00:00Z,1,samplewater,SM 4500-H+ B,pH,Total,none,1,7.7199999999999998,=,0.1,0.2,None,-88,ASL,NA,{00000000-0000-0000-0000-000000000000},NA,NA,NA,NA,NA,NA,NA,NA,NA,2018-06-11T22:25:35Z,3325,NA,NA,22407,729
1364,SMC00206,2009-05-18T07:00:00Z,1,Grab,WR153041,Not Recorded,W9E1182,2009-05-30T07:00:00Z,1,samplewater,SM 2320 B,Alkalinity as CaCO3,Total,mg/L,1,58,=,2,2,None,-88,WKL,NA,{00000000-0000-0000-0000-000000000000},NA,NA,NA,NA,NA,NA,NA,NA,NA,2018-06-11T22:25:36Z,3325,NA,NA,22471,717
1444,SMC00206,2009-05-18T07:00:00Z,1,Grab,WR153047,Not Recorded,6316016,2009-05-21T07:00:00Z,1,sediment,SM 4500-H+ B,pH,Not Recorded,none,1,7.7999999999999998,=,0.1,0.2,None,-88,CRGML,NA,{00000000-0000-0000-0000-000000000000},NA,NA,NA,NA,NA,NA,NA,NA,NA,2018-06-11T22:25:35Z,3325,NA,NA,22551,733
1510,SMC00670,2009-05-21T07:00:00Z,1,Grab,WR153322,995692,234682,2009-05-26T07:00:00Z,1,samplewater,EPA 120.1,ElectricalConductivity,Total,umhos/cm,1,1500,=,1,1,None,-88,ASL,NA,{00000000-0000-0000-0000-000000000000},NA,NA,NA,NA,NA,NA,NA,NA,NA,2018-06-11T22:25:52Z,3325,NA,NA,22617,730
1511,SMC00670,2009-05-21T07:00:00Z,1,Grab,WR153322,995692,234682,2009-05-22T07:00:00Z,1,samplewater,EPA 180.1,Turbidity,Total,NTU,1,0.87,=,0.2,0.2,None,-88,ASL,NA,{00000000-0000-0000-0000-000000000000},NA,NA,NA,NA,NA,NA,NA,NA,NA,2018-06-11T22:25:52Z,3325,NA,NA,22618,730
1516,SMC00670,2009-05-21T07:00:00Z,1,Grab,WR153322,995692,234682,2009-05-21T07:00:00Z,1,samplewater,SM 4500-H+ B,pH,Total,none,1,7.9900000000000002,=,0.1,0.2,None,-88,ASL,NA,{00000000-0000-0000-0000-000000000000},NA,NA,NA,NA,NA,NA,NA,NA,NA,2018-06-11T22:25:52Z,3325,NA,NA,22623,730
1580,SMC00670,2009-05-21T07:00:00Z,1,Grab,WR153322,Not Recorded,W9E1182,2009-05-30T07:00:00Z,1,samplewater,SM 2320 B,Alkalinity as CaCO3,Total,mg/L,1,19,=,2,2,None,-88,WKL,NA,{00000000-0000-0000-0000-000000000000},NA,NA,NA,NA,NA,NA,NA,NA,NA,2018-06-11T22:25:52Z,3325,NA,NA,22687,717
1660,SMC00670,2009-05-22T07:00:00Z,1,Grab,WR153328,Not Recorded,6316017,2009-05-22T07:00:00Z,1,sediment,SM 4500-H+ B,pH,Not Recorded,none,1,7.5,=,0.1,0.2,None,-88,CRGML,NA,{00000000-0000-0000-0000-000000000000},NA,NA,NA,NA,NA,NA,NA,NA,NA,2018-06-11T22:25:52Z,3325,NA,NA,22767,734
1726,SMC00206,2009-05-18T07:00:00Z,1,FieldBLDup,WR153048,994957,234517,2009-05-20T07:00:00Z,1,samplewater,EPA 120.1,ElectricalConductivity,Total,umhos/cm,1,1410,=,1,1,None,-88,ASL,NA,{00000000-0000-0000-0000-000000000000},NA,NA,NA,NA,NA,NA,NA,NA,NA,2018-06-11T22:25:35Z,3325,NA,NA,22833,729
1727,SMC00206,2009-05-18T07:00:00Z,1,FieldBLDup,WR153048,994957,234517,2009-05-20T07:00:00Z,1,samplewater,EPA 180.1,Turbidity,Total,NTU,1,3.77,=,0.2,0.2,None,-88,ASL,NA,{00000000-0000-0000-0000-000000000000},NA,NA,NA,NA,NA,NA,NA,NA,NA,2018-06-11T22:25:35Z,3325,NA,NA,22834,729
1732,SMC00206,2009-05-18T07:00:00Z,1,FieldBLDup,WR153048,994957,234517,2009-05-19T07:00:00Z,1,samplewater,SM 4500-H+ B,pH,Total,none,1,7.7000000000000002,=,0.1,0.2,None,-88,ASL,NA,{00000000-0000-0000-0000-000000000000},NA,NA,NA,NA,NA,NA,NA,NA,NA,2018-06-11T22:25:35Z,3325,NA,NA,22839,729
1796,SMC00206,2009-05-18T07:00:00Z,1,FieldBLDup,WR153048,Not Recorded,W9E1182,2009-05-30T07:00:00Z,1,samplewater,SM 2320 B,Alkalinity as CaCO3,Total,mg/L,1,39,=,2,2,None,-88,WKL,NA,{00000000-0000-0000-0000-000000000000},NA,NA,NA,NA,NA,NA,NA,NA,NA,2018-06-11T22:25:36Z,3325,NA,NA,22903,717
1844,LabQA,2009-05-18T07:00:00Z,1,TravelBlank,WR153050,994958,234517,2009-05-20T07:00:00Z,1,blankwater,EPA 120.1,ElectricalConductivity,Total,umhos/cm,1,0.87,=,1,1,None,-88,ASL,NA,{00000000-0000-0000-0000-000000000000},NA,NA,NA,NA,NA,NA,NA,NA,NA,2018-06-11T22:23:40Z,3325,NA,NA,22951,729
1845,LabQA,2009-05-18T07:00:00Z,1,TravelBlank,WR153050,994958,234517,2009-05-20T07:00:00Z,1,blankwater,EPA 180.1,Turbidity,Total,NTU,1,-88,ND,0.2,0.2,None,-88,ASL,NA,{00000000-0000-0000-0000-000000000000},NA,NA,NA,NA,NA,NA,NA,NA,NA,2018-06-11T22:23:40Z,3325,NA,NA,22952,729
1850,LabQA,2009-05-18T07:00:00Z,1,TravelBlank,WR153050,994958,234517,2009-05-19T07:00:00Z,1,blankwater,SM 4500-H+ B,pH,Total,none,1,6.5899999999999999,=,0.1,0.2,None,-88,ASL,NA,{00000000-0000-0000-0000-000000000000},NA,NA,NA,NA,NA,NA,NA,NA,NA,2018-06-11T22:23:40Z,3325,NA,NA,22957,729
1914,LabQA,2009-05-18T07:00:00Z,1,TravelBlank,WR153050,Not Recorded,W9E1182,2009-05-30T07:00:00Z,1,blankwater,SM 2320 B,Alkalinity as CaCO3,Total,mg/L,1,-88,ND,2,2,None,-88,WKL,NA,{00000000-0000-0000-0000-000000000000},NA,NA,NA,NA,NA,NA,NA,NA,NA,2018-06-11T22:23:41Z,3325,NA,NA,23021,717
1952,LabQA,2009-05-21T07:00:00Z,1,EquipBlank,WR153329,995693,234682,2009-05-26T07:00:00Z,1,blankwater,EPA 120.1,ElectricalConductivity,Total,umhos/cm,1,0.97999999999999998,=,1,1,None,-88,ASL,NA,{00000000-0000-0000-0000-000000000000},NA,NA,NA,NA,NA,NA,NA,NA,NA,2018-06-11T22:23:41Z,3325,NA,NA,23059,730
1953,LabQA,2009-05-21T07:00:00Z,1,EquipBlank,WR153329,995693,234682,2009-05-22T07:00:00Z,1,blankwater,EPA 180.1,Turbidity,Total,NTU,1,0.20000000000000001,=,0.2,0.2,None,-88,ASL,NA,{00000000-0000-0000-0000-000000000000},NA,NA,NA,NA,NA,NA,NA,NA,NA,2018-06-11T22:23:41Z,3325,NA,NA,23060,730
1958,LabQA,2009-05-21T07:00:00Z,1,EquipBlank,WR153329,995693,234682,2009-05-21T07:00:00Z,1,blankwater,SM 4500-H+ B,pH,Total,none,1,4.5600000000000005,=,0.1,0.2,None,-88,ASL,NA,{00000000-0000-0000-0000-000000000000},NA,NA,NA,NA,NA,NA,NA,NA,NA,2018-06-11T22:23:41Z,3325,NA,NA,23065,730
2022,LabQA,2009-05-21T07:00:00Z,1,EquipBlank,WR153329,Not Recorded,W9E1182,2009-05-30T07:00:00Z,1,blankwater,SM 2320 B,Alkalinity as CaCO3,Total,mg/L,1,-88,ND,2,2,None,-88,WKL,NA,{00000000-0000-0000-0000-000000000000},NA,NA,NA,NA,NA,NA,NA,NA,NA,2018-06-11T22:23:41Z,3325,NA,NA,23129,717
4026,SMCR8_196,2009-05-26T07:00:00Z,1,Grab,,Site 196,052909,2009-05-29T07:00:00Z,1,samplewater,SM 2320 B,Alkalinity as CaCO3,None,mg/L,1,85.700000000000003,=,1,5,None,-99,CSUSB,,{00000000-0000-0000-0000-000000000000},NA,NA,NA,NA,NA,NA,NA,NA,NA,2018-06-11T22:27:06Z,3429,NA,NA,25133,750
4030,SMCR8_196,2009-05-26T07:00:00Z,1,Grab,,Site 196,052909,2009-05-29T07:00:00Z,1,samplewater,SM 2510 B,SpecificConductivity,None,uS/cm,1,69,=,0.001,0.001,None,-99,CSUSB,,{00000000-0000-0000-0000-000000000000},NA,NA,NA,NA,NA,NA,NA,NA,NA,2018-06-11T22:27:06Z,3429,NA,NA,25137,750
