objectid,stationcode,sampledate,fieldreplicate,sampletypecode,fieldsampleid,labsampleid,labbatch,analysisdate,labreplicate,matrixname,methodname,analytename,fractionname,unit,dilfactor,result,resqualcode,mdl,rl,qacode,expectedvalue,labagencycode,labresultcomments,globalid,created_user,created_date,last_edited_user,last_edited_date,login_email,login_agency,login_owner,login_year,login_project,lastchangedate,submissionid,legacy,projectcode,chemistryresultsrecordid,chemistrybatchrecordid
47512,SMC02075,2012-07-17T07:00:00Z,1,Grab,SMC02075,2G18063-01,W2G0880,2012-07-23T20:15:00Z,1,samplewater,SM 2320 B,Alkalinity as CaCO3,Total,mg/L,1,230,=,0.56,10,None,-88,WKL,"""FieldFrozen"" 17/Jul/2012 10:20",{00000000-0000-0000-0000-000000000000},NA,NA,NA,NA,NA,NA,NA,NA,NA,2018-06-11T22:26:20Z,5122,NA,NA,111221,4303
47513,SMC02139,2012-07-17T07:00:00Z,1,Grab,SMC02139,2G18063-02,W2G0880,2012-07-23T20:15:00Z,1,samplewater,SM 2320 B,Alkalinity as CaCO3,Total,mg/L,1,140,=,0.56,10,None,-88,WKL,"""FieldFrozen"" 17/Jul/2012 13:00",{00000000-0000-0000-0000-000000000000},NA,NA,NA,NA,NA,NA,NA,NA,NA,2018-06-11T22:26:21Z,5122,NA,NA,111222,4303
51940,SGUT503,2012-06-13T07:00:00Z,1,Grab,SGUT503,15275-R1,PHYSIS_C-7073_S_CON,2012-06-19T07:00:00Z,1,samplewater,SM 2320 B,Alkalinity as CaCO3,Total,mg/L,1,164,NA,1,5,None,0,CSULB,,{00000000-0000-0000-0000-000000000000},NA,NA,NA,NA,NA,NA,NA,NA,NA,2018-06-11T22:25:27Z,5131,NA,NA,115649,4328
51941,SMC03452,2012-06-13T07:00:00Z,1,Grab,SGUR03452,15274-R1,PHYSIS_C-7073_S_CON,2012-06-19T07:00:00Z,1,samplewater,SM 2320 B,Alkalinity as CaCO3,Total,mg/L,1,149.6,NA,1,5,None,0,CSULB,,{00000000-0000-0000-0000-000000000000},NA,NA,NA,NA,NA,NA,NA,NA,NA,2018-06-11T22:26:31Z,5131,NA,NA,115650,4328
51942,SGUT503,2012-06-13T07:00:00Z,1,Grab,SGUT503,15275-R2,PHYSIS_C-7073_S_CON,2012-06-19T07:00:00Z,2,samplewater,SM 2320 B,Alkalinity as CaCO3,Total,mg/L,1,161.9,NA,1,5,None,0,CSULB,RPD 1,{00000000-0000-0000-0000-000000000000},NA,NA,NA,NA,NA,NA,NA,NA,NA,2018-06-11T22:25:27Z,5131,NA,NA,115651,4328
51943,LABQA,2012-06-19T07:00:00Z,1,LabBlank,LABQA,15273-B1,PHYSIS_C-7073_S_CON,2012-06-19T07:00:00Z,1,blankwater,SM 2320 B,Alkalinity as CaCO3,Total,mg/L,1,-88,ND,1,5,None,0,CSULB,,{00000000-0000-0000-0000-000000000000},NA,NA,NA,NA,NA,NA,NA,NA,NA,2018-06-11T22:24:07Z,5131,NA,NA,115652,4328
51981,SGLT508,2012-06-21T07:00:00Z,1,Grab,SGLT508,15587-R1,PHYSIS_C-7135_S_CON,2012-07-13T07:00:00Z,1,samplewater,SM 2320 B,Alkalinity as CaCO3,Total,mg/L,1,295.2,NA,1,5,None,0,CSULB,,{00000000-0000-0000-0000-000000000000},NA,NA,NA,NA,NA,NA,NA,NA,NA,2018-06-11T22:25:20Z,5131,NA,NA,115690,4332
51982,SGLT507,2012-06-21T07:00:00Z,1,Grab,SGLT507,15586-R1,PHYSIS_C-7135_S_CON,2012-07-13T07:00:00Z,1,samplewater,SM 2320 B,Alkalinity as CaCO3,Total,mg/L,1,143.5,NA,1,5,None,0,CSULB,,{00000000-0000-0000-0000-000000000000},NA,NA,NA,NA,NA,NA,NA,NA,NA,2018-06-11T22:25:19Z,5131,NA,NA,115691,4332
51983,SMC13630,2012-06-21T07:00:00Z,1,Grab,SGMR13630,15585-R1,PHYSIS_C-7135_S_CON,2012-07-13T07:00:00Z,1,samplewater,SM 2320 B,Alkalinity as CaCO3,Total,mg/L,1,196.8,NA,1,5,None,0,CSULB,,{00000000-0000-0000-0000-000000000000},NA,NA,NA,NA,NA,NA,NA,NA,NA,2018-06-11T22:26:56Z,5131,NA,NA,115692,4332
51984,LABQA,2012-07-13T07:00:00Z,1,LabBlank,LABQA,15583-B1,PHYSIS_C-7135_S_CON,2012-07-13T07:00:00Z,1,blankwater,SM 2320 B,Alkalinity as CaCO3,Total,mg/L,1,-88,ND,1,5,None,0,CSULB,,{00000000-0000-0000-0000-000000000000},NA,NA,NA,NA,NA,NA,NA,NA,NA,2018-06-11T22:24:12Z,5131,NA,NA,115693,4332
51985,SMC01824,2012-06-21T07:00:00Z,1,Grab,SGLR01824,15584-R1,PHYSIS_C-7135_S_CON,2012-07-13T07:00:00Z,1,samplewater,SM 2320 B,Alkalinity as CaCO3,Total,mg/L,1,182.5,NA,1,5,None,0,CSULB,,{00000000-0000-0000-0000-000000000000},NA,NA,NA,NA,NA,NA,NA,NA,NA,2018-06-11T22:26:15Z,5131,NA,NA,115694,4332
51986,SGUT505,2012-06-19T07:00:00Z,1,Grab,SGUT505,15495-R1,PHYSIS_C-7135_S_CON,2012-07-13T07:00:00Z,1,samplewater,SM 2320 B,Alkalinity as CaCO3,Total,mg/L,1,159.9,NA,1,5,None,0,CSULB,,{00000000-0000-0000-0000-000000000000},NA,NA,NA,NA,NA,NA,NA,NA,NA,2018-06-11T22:25:31Z,5131,NA,NA,115695,4332
51987,SGLT506,2012-06-19T07:00:00Z,1,Grab,SGLT506,15496-R1,PHYSIS_C-7135_S_CON,2012-07-13T07:00:00Z,1,samplewater,SM 2320 B,Alkalinity as CaCO3,Total,mg/L,1,159.9,NA,1,5,None,0,CSULB,,{00000000-0000-0000-0000-000000000000},NA,NA,NA,NA,NA,NA,NA,NA,NA,2018-06-11T22:25:17Z,5131,NA,NA,115696,4332
51988,SGUT501,2012-06-19T07:00:00Z,1,Grab,SGUT501,15493-R2,PHYSIS_C-7135_S_CON,2012-07-13T07:00:00Z,2,samplewater,SM 2320 B,Alkalinity as CaCO3,Total,mg/L,1,159.9,NA,1,5,None,0,CSULB,RPD 9,{00000000-0000-0000-0000-000000000000},NA,NA,NA,NA,NA,NA,NA,NA,NA,2018-06-11T22:25:23Z,5131,NA,NA,115697,4332
51989,SGUT504,2012-06-19T07:00:00Z,1,Grab,SGUT504,15494-R1,PHYSIS_C-7135_S_CON,2012-07-13T07:00:00Z,1,samplewater,SM 2320 B,Alkalinity as CaCO3,Total,mg/L,1,153.8,NA,1,5,None,0,CSULB,,{00000000-0000-0000-0000-000000000000},NA,NA,NA,NA,NA,NA,NA,NA,NA,2018-06-11T22:25:29Z,5131,NA,NA,115698,4332
51990,SGUT501,2012-06-19T07:00:00Z,1,Grab,SGUT501,15493-R1,PHYSIS_C-7135_S_CON,2012-07-13T07:00:00Z,1,samplewater,SM 2320 B,Alkalinity as CaCO3,Total,mg/L,1,145.6,NA,1,5,None,0,CSULB,,{00000000-0000-0000-0000-000000000000},NA,NA,NA,NA,NA,NA,NA,NA,NA,2018-06-11T22:25:23Z,5131,NA,NA,115699,4332
51991,LABQA,2012-07-13T07:00:00Z,1,LabBlank,LABQA,15492-B1,PHYSIS_C-7135_S_CON,2012-07-13T07:00:00Z,1,blankwater,SM 2320 B,Alkalinity as CaCO3,Total,mg/L,1,-88,ND,1,5,None,0,CSULB,,{00000000-0000-0000-0000-000000000000},NA,NA,NA,NA,NA,NA,NA,NA,NA,2018-06-11T22:24:12Z,5131,NA,NA,115700,4332
52000,SGUT502,2012-06-18T07:00:00Z,1,Grab,SGUT502,15477-R1,PHYSIS_C-8009_S_CON,2012-07-13T07:00:00Z,1,samplewater,SM 2320 B,Alkalinity as CaCO3,Total,mg/L,1,172.2,NA,1,5,None,0,CSULB,,{00000000-0000-0000-0000-000000000000},NA,NA,NA,NA,NA,NA,NA,NA,NA,2018-06-11T22:25:24Z,5131,NA,NA,115709,4334
52001,SMC03984,2012-06-18T07:00:00Z,1,Grab,SGUR03984,15476-R2,PHYSIS_C-8009_S_CON,2012-07-13T07:00:00Z,2,samplewater,SM 2320 B,Alkalinity as CaCO3,Total,mg/L,1,159.9,NA,1,5,None,0,CSULB,RPD 3,{00000000-0000-0000-0000-000000000000},NA,NA,NA,NA,NA,NA,NA,NA,NA,2018-06-11T22:26:33Z,5131,NA,NA,115710,4334
52002,SMC03984,2012-06-18T07:00:00Z,1,Grab,SGUR03984,15476-R1,PHYSIS_C-8009_S_CON,2012-07-13T07:00:00Z,1,samplewater,SM 2320 B,Alkalinity as CaCO3,Total,mg/L,1,164,NA,1,5,None,0,CSULB,,{00000000-0000-0000-0000-000000000000},NA,NA,NA,NA,NA,NA,NA,NA,NA,2018-06-11T22:26:33Z,5131,NA,NA,115711,4334
52003,LABQA,2012-07-13T07:00:00Z,1,LabBlank,LABQA,15475-B1,PHYSIS_C-8009_S_CON,2012-07-13T07:00:00Z,1,blankwater,SM 2320 B,Alkalinity as CaCO3,Total,mg/L,1,-88,ND,1,5,None,0,CSULB,,{00000000-0000-0000-0000-000000000000},NA,NA,NA,NA,NA,NA,NA,NA,NA,2018-06-11T22:24:12Z,5131,NA,NA,115712,4334
52004,LABQA,2012-07-10T07:00:00Z,1,LabBlank,LABQA,15829-B1,PHYSIS_C-8009_S_CON,2012-07-10T07:00:00Z,1,blankwater,SM 2320 B,Alkalinity as CaCO3,Total,mg/L,1,-88,ND,1,5,None,0,CSULB,,{00000000-0000-0000-0000-000000000000},NA,NA,NA,NA,NA,NA,NA,NA,NA,2018-06-11T22:24:12Z,5131,NA,NA,115713,4334
52005,LB-R7,2012-06-27T07:00:00Z,1,Grab,LB-R7,15831-R1,PHYSIS_C-8009_S_CON,2012-07-10T07:00:00Z,1,samplewater,SM 2320 B,Alkalinity as CaCO3,Total,mg/L,1,110.7,NA,1,5,None,0,CSULB,,{00000000-0000-0000-0000-000000000000},NA,NA,NA,NA,NA,NA,NA,NA,NA,2018-06-11T22:24:57Z,5131,NA,NA,115714,4334
52006,LB-R8,2012-06-27T07:00:00Z,1,Grab,LB-R8,15832-R1,PHYSIS_C-8009_S_CON,2012-07-10T07:00:00Z,1,samplewater,SM 2320 B,Alkalinity as CaCO3,Total,mg/L,1,112.8,NA,1,5,None,0,CSULB,,{00000000-0000-0000-0000-000000000000},NA,NA,NA,NA,NA,NA,NA,NA,NA,2018-06-11T22:25:02Z,5131,NA,NA,115715,4334
52007,LB-R6,2012-06-27T07:00:00Z,1,Grab,LB-R6,15830-R1,PHYSIS_C-8009_S_CON,2012-07-10T07:00:00Z,1,samplewater,SM 2320 B,Alkalinity as CaCO3,Total,mg/L,1,141.5,NA,1,5,None,0,CSULB,,{00000000-0000-0000-0000-000000000000},NA,NA,NA,NA,NA,NA,NA,NA,NA,2018-06-11T22:24:54Z,5131,NA,NA,115716,4334
52110,SMC01902,2012-07-16T07:00:00Z,1,Grab,SGLR01902,16081-R1,PHYSIS_C-8049_S_CON,2012-07-30T07:00:00Z,1,samplewater,SM 2320 B,Alkalinity as CaCO3,Total,mg/L,1,53.3,NA,1,5,None,0,CSULB,,{00000000-0000-0000-0000-000000000000},NA,NA,NA,NA,NA,NA,NA,NA,NA,2018-06-11T22:26:16Z,5131,NA,NA,115819,4348
52111,SMC01260,2012-07-16T07:00:00Z,1,Grab,SGLR01260,16082-R1,PHYSIS_C-8049_S_CON,2012-07-30T07:00:00Z,1,samplewater,SM 2320 B,Alkalinity as CaCO3,Total,mg/L,1,55.31,NA,1,5,None,0,CSULB,,{00000000-0000-0000-0000-000000000000},NA,NA,NA,NA,NA,NA,NA,NA,NA,2018-06-11T22:26:07Z,5131,NA,NA,115820,4348
52112,SMC01454,2012-07-16T07:00:00Z,1,Grab,SGLR01454,16079-R1,PHYSIS_C-8049_S_CON,2012-07-30T07:00:00Z,1,samplewater,SM 2320 B,Alkalinity as CaCO3,Total,mg/L,1,282.9,NA,1,5,None,0,CSULB,,{00000000-0000-0000-0000-000000000000},NA,NA,NA,NA,NA,NA,NA,NA,NA,2018-06-11T22:26:10Z,5131,NA,NA,115821,4348
52113,SMC01454,2012-07-16T07:00:00Z,1,Grab,SGLR01454,16079-R2,PHYSIS_C-8049_S_CON,2012-07-30T07:00:00Z,2,samplewater,SM 2320 B,Alkalinity as CaCO3,Total,mg/L,1,289,NA,1,5,None,0,CSULB,RPD 2,{00000000-0000-0000-0000-000000000000},NA,NA,NA,NA,NA,NA,NA,NA,NA,2018-06-11T22:26:10Z,5131,NA,NA,115822,4348
52114,SMC01454,2012-07-16T07:00:00Z,2,Grab,SGLR01454,16080-R1,PHYSIS_C-8049_S_CON,2012-07-30T07:00:00Z,1,samplewater,SM 2320 B,Alkalinity as CaCO3,Total,mg/L,1,289,NA,1,5,None,0,CSULB,,{00000000-0000-0000-0000-000000000000},NA,NA,NA,NA,NA,NA,NA,NA,NA,2018-06-11T22:26:10Z,5131,NA,NA,115823,4348
52115,LABQA,2012-07-30T07:00:00Z,1,LabBlank,LABQA,16078-B1,PHYSIS_C-8049_S_CON,2012-07-30T07:00:00Z,1,blankwater,SM 2320 B,Alkalinity as CaCO3,Total,mg/L,1,-88,ND,1,5,None,0,CSULB,,{00000000-0000-0000-0000-000000000000},NA,NA,NA,NA,NA,NA,NA,NA,NA,2018-06-11T22:24:14Z,5131,NA,NA,115824,4348
52116,LABQA,2012-08-01T07:00:00Z,1,LabBlank,LABQA,16146-B1,PHYSIS_C-8052_S_CON,2012-08-01T07:00:00Z,1,blankwater,SM 2320 B,Alkalinity as CaCO3,Total,mg/L,1,-88,ND,1,5,None,0,CSULB,,{00000000-0000-0000-0000-000000000000},NA,NA,NA,NA,NA,NA,NA,NA,NA,2018-06-11T22:24:15Z,5131,NA,NA,115825,4349
52124,SMC02972,2012-07-18T07:00:00Z,1,Grab,SGUR02972,16147-R2,PHYSIS_C-8052_S_CON,2012-08-01T07:00:00Z,2,samplewater,SM 2320 B,Alkalinity as CaCO3,Total,mg/L,1,155.8,NA,1,5,None,0,CSULB,RPD 1,{00000000-0000-0000-0000-000000000000},NA,NA,NA,NA,NA,NA,NA,NA,NA,2018-06-11T22:26:27Z,5131,NA,NA,115833,4349
52125,SMC02972,2012-07-18T07:00:00Z,1,Grab,SGUR02972,16147-R1,PHYSIS_C-8052_S_CON,2012-08-01T07:00:00Z,1,samplewater,SM 2320 B,Alkalinity as CaCO3,Total,mg/L,1,157.9,NA,1,5,None,0,CSULB,,{00000000-0000-0000-0000-000000000000},NA,NA,NA,NA,NA,NA,NA,NA,NA,2018-06-11T22:26:27Z,5131,NA,NA,115834,4349
52128,SMC00428,2012-07-18T07:00:00Z,1,Grab,SGUR00428,16148-R1,PHYSIS_C-8052_S_CON,2012-08-01T07:00:00Z,1,samplewater,SM 2320 B,Alkalinity as CaCO3,Total,mg/L,1,170.1,NA,1,5,None,0,CSULB,,{00000000-0000-0000-0000-000000000000},NA,NA,NA,NA,NA,NA,NA,NA,NA,2018-06-11T22:25:44Z,5131,NA,NA,115837,4349
52129,SGUR103,2012-07-18T07:00:00Z,1,Grab,SGUR103,16149-R1,PHYSIS_C-8052_S_CON,2012-08-01T07:00:00Z,1,samplewater,SM 2320 B,Alkalinity as CaCO3,Total,mg/L,1,170.1,NA,1,5,None,0,CSULB,,{00000000-0000-0000-0000-000000000000},NA,NA,NA,NA,NA,NA,NA,NA,NA,2018-06-11T22:25:22Z,5131,NA,NA,115838,4349
52375,SMC04000,2012-07-30T07:00:00Z,1,Grab,SGUR04000,16309-R1,PHYSIS_C-8097_S_CON,2012-08-13T07:00:00Z,1,samplewater,SM 2320 B,Alkalinity as CaCO3,Total,mg/L,1,182.4,NA,1,5,None,0,CSULB,,{00000000-0000-0000-0000-000000000000},NA,NA,NA,NA,NA,NA,NA,NA,NA,2018-06-11T22:26:34Z,5131,NA,NA,116084,4356
52376,SMC04000,2012-07-30T07:00:00Z,1,Grab,SGUR04000,16309-R2,PHYSIS_C-8097_S_CON,2012-08-13T07:00:00Z,2,samplewater,SM 2320 B,Alkalinity as CaCO3,Total,mg/L,1,184.5,NA,1,5,None,0,CSULB,RPD 1,{00000000-0000-0000-0000-000000000000},NA,NA,NA,NA,NA,NA,NA,NA,NA,2018-06-11T22:26:34Z,5131,NA,NA,116085,4356
52377,LABQA,2012-08-13T07:00:00Z,1,LabBlank,LABQA,16308-B1,PHYSIS_C-8097_S_CON,2012-08-13T07:00:00Z,1,blankwater,SM 2320 B,Alkalinity as CaCO3,Total,mg/L,1,-88,ND,1,5,None,0,CSULB,,{00000000-0000-0000-0000-000000000000},NA,NA,NA,NA,NA,NA,NA,NA,NA,2018-06-11T22:24:15Z,5131,NA,NA,116086,4356
56845,SMC09118,2013-05-22T07:00:00Z,1,Grab,WR216586,3E22071-01,WKL_W3E1180_W_TURB,2013-05-23T07:00:00Z,1,samplewater,EPA 180.1,Turbidity,Total,NTU,1,0.97,NA,0.024,0.1,None,0,WKL,,{00000000-0000-0000-0000-000000000000},NA,NA,NA,NA,NA,NA,NA,NA,NA,2018-06-11T22:26:49Z,5208,NA,NA,122204,4671
54571,000NONPJ,2012-06-14T07:00:00Z,1,Grab,1112-D2-364-01,B2F1432-01,BABCOCK_12F2206_W_SM 2320 B,2012-06-22T07:00:00Z,1,samplewater,SM 2320 B,Alkalinity as CaCO3,Total,mg/L,1,240,=,1.7,3,DS,-88,ES,,{00000000-0000-0000-0000-000000000000},NA,NA,NA,NA,NA,NA,NA,NA,NA,2018-06-11T22:22:19Z,5159,NA,NA,119930,4560
54575,LABQA,2012-06-22T07:00:00Z,1,LabBlank,Blank,12F2206-BLK1,BABCOCK_12F2206_W_SM 2320 B,2012-06-22T07:00:00Z,1,blankwater,SM 2320 B,Alkalinity as CaCO3,Total,mg/L,1,1.7,ND,1.7,3,NONE,-88,ES,,{00000000-0000-0000-0000-000000000000},NA,NA,NA,NA,NA,NA,NA,NA,NA,2018-06-11T22:24:08Z,5159,NA,NA,119934,4560
54579,LABQA,2012-06-22T07:00:00Z,1,BlankSp,LCS,12F2206-BS1,BABCOCK_12F2206_W_SM 2320 B,2012-06-22T07:00:00Z,1,blankwater,SM 2320 B,Alkalinity as CaCO3,Total,mg/L,1,454,=,1.7,3,NONE,472,ES,,{00000000-0000-0000-0000-000000000000},NA,NA,NA,NA,NA,NA,NA,NA,NA,2018-06-11T22:24:08Z,5159,NA,NA,119938,4560
54581,000NONPJ,2012-06-22T07:00:00Z,1,NotRecorded,1112-D2-364-01 Duplicate,12F2206-DUP1,BABCOCK_12F2206_W_SM 2320 B,2012-06-22T07:00:00Z,2,samplewater,SM 2320 B,Alkalinity as CaCO3,Total,mg/L,1,238,=,1.7,3,DS,-88,ES,,{00000000-0000-0000-0000-000000000000},NA,NA,NA,NA,NA,NA,NA,NA,NA,2018-06-11T22:22:20Z,5159,NA,NA,119940,4560
56846,SMC13214,2013-05-22T07:00:00Z,1,Grab,WR216589,3E22071-04,WKL_W3E1180_W_TURB,2013-05-23T07:00:00Z,1,samplewater,EPA 180.1,Turbidity,Total,NTU,1,0.53,NA,0.024,0.1,None,0,WKL,,{00000000-0000-0000-0000-000000000000},NA,NA,NA,NA,NA,NA,NA,NA,NA,2018-06-11T22:26:55Z,5208,NA,NA,122205,4671
54750,SMC06612,2013-06-06T07:00:00Z,1,Grab,SMC06612,3F07070-01,W3F0515,2013-06-13T00:00:00Z,1,samplewater,SM 2320 B,Alkalinity as CaCO3,Total,mg/L,1,160,=,0.56,2,None,-88,WKL,06/Jun/2013 07:10,{00000000-0000-0000-0000-000000000000},NA,NA,NA,NA,NA,NA,NA,NA,NA,2018-06-11T22:26:45Z,5172,NA,NA,120109,4571
54751,SMC08660,2013-06-06T07:00:00Z,1,Grab,SMC08660,3F07070-02,W3F0515,2013-06-13T00:00:00Z,1,samplewater,SM 2320 B,Alkalinity as CaCO3,Total,mg/L,1,170,=,0.56,2,None,-88,WKL,06/Jun/2013 10:07,{00000000-0000-0000-0000-000000000000},NA,NA,NA,NA,NA,NA,NA,NA,NA,2018-06-11T22:26:48Z,5172,NA,NA,120110,4571
54752,SMC07828,2013-06-06T07:00:00Z,1,Grab,SMC07828,3F07070-03,W3F0515,2013-06-13T00:00:00Z,1,samplewater,SM 2320 B,Alkalinity as CaCO3,Total,mg/L,1,170,=,0.56,2,None,-88,WKL,06/Jun/2013 13:05,{00000000-0000-0000-0000-000000000000},NA,NA,NA,NA,NA,NA,NA,NA,NA,2018-06-11T22:26:46Z,5172,NA,NA,120111,4571
54753,SMC06356,2013-06-10T07:00:00Z,1,Grab,SMC06356,3F11065-01,W3F0515,2013-06-13T00:00:00Z,1,samplewater,SM 2320 B,Alkalinity as CaCO3,Total,mg/L,1,290,=,0.56,2,None,-88,WKL,10/Jun/2013 07:15,{00000000-0000-0000-0000-000000000000},NA,NA,NA,NA,NA,NA,NA,NA,NA,2018-06-11T22:26:44Z,5172,NA,NA,120112,4571
54754,SMC06740,2013-06-10T07:00:00Z,1,Grab,SMC06740,3F11065-02,W3F0515,2013-06-13T00:00:00Z,1,samplewater,SM 2320 B,Alkalinity as CaCO3,Total,mg/L,1,240,=,0.56,2,None,-88,WKL,10/Jun/2013 10:20,{00000000-0000-0000-0000-000000000000},NA,NA,NA,NA,NA,NA,NA,NA,NA,2018-06-11T22:26:45Z,5172,NA,NA,120113,4571
54755,SMC08068,2013-06-10T07:00:00Z,1,Grab,SMC08068,3F11065-03,W3F0515,2013-06-13T00:00:00Z,1,samplewater,SM 2320 B,Alkalinity as CaCO3,Total,mg/L,1,300,=,0.56,2,None,-88,WKL,10/Jun/2013 13:00,{00000000-0000-0000-0000-000000000000},NA,NA,NA,NA,NA,NA,NA,NA,NA,2018-06-11T22:26:47Z,5172,NA,NA,120114,4571
54756,000NONPJ,2013-06-12T07:00:00Z,1,Grab,3F04047-06,W3F0515-DUP,W3F0515,2013-06-13T00:00:00Z,1,samplewater,SM 2320 B,Alkalinity as CaCO3,Total,mg/L,1,3.48,=,0.56,2,QAX,-88,WKL,"RPD 0, 12/Jun/2013 09:49",{00000000-0000-0000-0000-000000000000},NA,NA,NA,NA,NA,NA,NA,NA,NA,2018-06-11T22:22:27Z,5172,NA,NA,120115,4571
54757,LABQA,2013-06-12T07:00:00Z,1,LabBlank,W3F0515-BLK1,W3F0515-BLK,W3F0515,2013-06-13T00:00:00Z,1,labwater,SM 2320 B,Alkalinity as CaCO3,Total,mg/L,1,1.49,DNQ,0.56,2,None,-88,WKL,"J, 12/Jun/2013 09:49",{00000000-0000-0000-0000-000000000000},NA,NA,NA,NA,NA,NA,NA,NA,NA,2018-06-11T22:24:17Z,5172,NA,NA,120116,4571
54758,LABQA,2013-06-12T07:00:00Z,1,LCS,W3F0515-BS1,W3F0515-BS,W3F0515,2013-06-13T00:00:00Z,1,labwater,SM 2320 B,Alkalinity as CaCO3,Total,mg/L,1,250,=,0.56,2,None,250,WKL,"PR 100, 12/Jun/2013 09:49",{00000000-0000-0000-0000-000000000000},NA,NA,NA,NA,NA,NA,NA,NA,NA,2018-06-11T22:24:17Z,5172,NA,NA,120117,4571
55530,SMC00324,2013-06-12T07:00:00Z,1,Grab,ME-SCR (SMC00324),3F13083-01,W3F1028,2013-06-25T18:49:00Z,1,samplewater,SM 2320 B,Alkalinity as CaCO3,Total,mg/L,1,250,=,0.56,2,None,-88,WKL,12/Jun/2013 07:30,{00000000-0000-0000-0000-000000000000},NA,NA,NA,NA,NA,NA,NA,NA,NA,2018-06-11T22:25:41Z,5172,NA,NA,120889,4589
55531,SMC05567,2013-06-12T07:00:00Z,1,Grab,SMC05567,3F13083-02,W3F1028,2013-06-25T18:49:00Z,1,samplewater,SM 2320 B,Alkalinity as CaCO3,Total,mg/L,1,160,=,0.56,2,None,-88,WKL,12/Jun/2013 10:15,{00000000-0000-0000-0000-000000000000},NA,NA,NA,NA,NA,NA,NA,NA,NA,2018-06-11T22:26:42Z,5172,NA,NA,120890,4589
55532,ME-CC,2013-06-12T07:00:00Z,1,Grab,ME-CC,3F13083-03,W3F1028,2013-06-25T18:49:00Z,1,samplewater,SM 2320 B,Alkalinity as CaCO3,Total,mg/L,1,260,=,0.56,2,None,-88,WKL,12/Jun/2013 13:20,{00000000-0000-0000-0000-000000000000},NA,NA,NA,NA,NA,NA,NA,NA,NA,2018-06-11T22:25:08Z,5172,NA,NA,120891,4589
55533,SMC00324,2013-06-12T07:00:00Z,1,Grab,ME-SCR (SMC00324),W3F1028-DUP,W3F1028,2013-06-25T18:49:00Z,1,samplewater,SM 2320 B,Alkalinity as CaCO3,Total,mg/L,1,249,=,0.56,2,None,-88,WKL,"RPD 0.8, 12/Jun/2013 07:30",{00000000-0000-0000-0000-000000000000},NA,NA,NA,NA,NA,NA,NA,NA,NA,2018-06-11T22:25:41Z,5172,NA,NA,120892,4589
55534,LABQA,2013-06-25T07:00:00Z,1,LCS,W3F1028-BS1,W3F1028-BS,W3F1028,2013-06-25T18:49:00Z,1,labwater,SM 2320 B,Alkalinity as CaCO3,Total,mg/L,1,252,=,0.56,2,None,250,WKL,"PR 101, 24/Jun/2013 07:26",{00000000-0000-0000-0000-000000000000},NA,NA,NA,NA,NA,NA,NA,NA,NA,2018-06-11T22:24:21Z,5172,NA,NA,120893,4589
55535,LABQA,2013-06-25T07:00:00Z,1,LabBlank,W3F1028-BLK1,W3F1028-BLK,W3F1028,2013-06-25T18:49:00Z,1,labwater,SM 2320 B,Alkalinity as CaCO3,Total,mg/L,1,1.49,DNQ,0.56,2,None,-88,WKL,"J, 24/Jun/2013 07:26",{00000000-0000-0000-0000-000000000000},NA,NA,NA,NA,NA,NA,NA,NA,NA,2018-06-11T22:24:21Z,5172,NA,NA,120894,4589
55975,LABQA,2013-06-28T07:00:00Z,1,LabBlank,W3F1299-BLK1,W3F1299-BLK,W3F1299,2013-06-28T23:34:00Z,1,labwater,SM 2320 B,Alkalinity as CaCO3,Total,mg/L,1,1.49,DNQ,0.56,2,None,-88,WKL,"J, 28/Jun/2013 07:32",{00000000-0000-0000-0000-000000000000},NA,NA,NA,NA,NA,NA,NA,NA,NA,2018-06-11T22:24:22Z,5172,NA,NA,121334,4601
55976,LABQA,2013-06-28T07:00:00Z,1,LCS,W3F1299-BS1,W3F1299-BS,W3F1299,2013-06-28T23:34:00Z,1,labwater,SM 2320 B,Alkalinity as CaCO3,Total,mg/L,1,254,=,0.56,2,None,250,WKL,"PR 102, 28/Jun/2013 07:32",{00000000-0000-0000-0000-000000000000},NA,NA,NA,NA,NA,NA,NA,NA,NA,2018-06-11T22:24:22Z,5172,NA,NA,121335,4601
55977,ME-VR2,2013-06-24T07:00:00Z,1,Grab,ME-VR2,3F25064-01,W3F1299,2013-06-28T23:34:00Z,1,samplewater,SM 2320 B,Alkalinity as CaCO3,Total,mg/L,1,290,=,0.56,2,None,-88,WKL,24/Jun/2013 07:05,{00000000-0000-0000-0000-000000000000},NA,NA,NA,NA,NA,NA,NA,NA,NA,2018-06-11T22:25:12Z,5172,NA,NA,121336,4601
55978,SMC19697,2013-06-24T07:00:00Z,1,Grab,SMC19697,3F25064-02,W3F1299,2013-06-28T23:34:00Z,1,samplewater,SM 2320 B,Alkalinity as CaCO3,Total,mg/L,1,300,=,0.56,2,None,-88,WKL,24/Jun/2013 09:15,{00000000-0000-0000-0000-000000000000},NA,NA,NA,NA,NA,NA,NA,NA,NA,2018-06-11T22:27:00Z,5172,NA,NA,121337,4601
