objectid,stationcode,sampledate,sampletypecode,matrixname,fieldreplicate,labreplicate,fractionname,record_origin,origin_lastupdatedate,record_publish,total_n_mgl,total_n_mgl_rl,total_n_mgl_mdl,total_n_mgl_method,total_p_mgl,total_p_mgl_rl,total_p_mgl_mdl,total_p_mgl_method
1465,SMC04524,2018-07-19T07:00:00Z,Grab,samplewater,1,1,Total,NA,NA,NA,0.399,0.48,0.072,calculated,0.0799,0.02,0.016,reported
1466,SMC04524,2018-07-19T07:00:00Z,Grab,samplewater,1,2,Total,NA,NA,NA,NA,NA,NA,NA,0.0339,0.02,0.01,partial
1472,SMC04670,2017-05-03T07:00:00Z,Grab,samplewater,1,1,Total,NA,NA,NA,5.56,0.47000000000000003,0.08399999999999999,calculated,0.17,0.02,0.016,reported
1554,SMC08766,2018-07-10T07:00:00Z,Grab,samplewater,1,1,Total,NA,NA,NA,1.976,0.48,0.072,calculated,0.29600000000000004,0.02,0.016,reported
1555,SMC08766,2018-07-10T07:00:00Z,Grab,samplewater,1,2,Total,NA,NA,NA,0.491,0.03,0.007,partial,NA,NA,NA,NA
1570,SMC09534,2018-07-10T07:00:00Z,Grab,samplewater,1,1,Total,NA,NA,NA,4.78,0.48,0.072,calculated,0.165,0.02,0.016,reported
1601,SMC12862,2019-07-22T07:00:00Z,Grab,samplewater,1,1,Total,NA,NA,NA,4.447,0.48,0.072,calculated,0.285,0.02,0.016,reported
1602,SMC12862,2019-07-22T07:00:00Z,Grab,samplewater,1,2,Total,NA,NA,NA,0.10400000000000001,0.03,0.007,partial,NA,NA,NA,NA
1625,SMC16832,2018-07-10T07:00:00Z,Grab,samplewater,1,1,Total,NA,NA,NA,1.8,0.48,0.072,calculated,0.129,0.02,0.016,reported
1641,SMC20032,2019-07-22T07:00:00Z,Grab,samplewater,1,1,Total,NA,NA,NA,6.352,0.48,0.072,calculated,0.221,0.02,0.016,reported
1797,000NONPJ,2019-07-15T07:00:00Z,Grab,samplewater,1,1,Total,NA,NA,NA,NA,NA,NA,NA,0.15,0.1,0.05,partial
1798,000NONPJ,2019-07-23T07:00:00Z,Grab,samplewater,1,1,Total,NA,NA,NA,NA,NA,NA,NA,0.15,0.1,0.05,reported
1799,000NONPJ,2019-07-30T07:00:00Z,Grab,samplewater,1,1,Total,NA,NA,NA,NA,NA,NA,NA,0.17,0.1,0.05,reported
1800,000NONPJ,2019-08-06T07:00:00Z,Grab,samplewater,1,1,Total,NA,NA,NA,NA,NA,NA,NA,0.32,0.2,0.1,reported
1805,405CE0280,2019-08-05T07:00:00Z,Grab,samplewater,1,2,Total,NA,NA,NA,NA,NA,NA,NA,0.0,0.02,0.01,partial
1813,412M08647,2019-07-16T07:00:00Z,Grab,samplewater,1,2,Total,NA,NA,NA,NA,NA,NA,NA,0.0,0.1,0.05,partial
1878,LALT501,2019-07-30T07:00:00Z,Grab,samplewater,1,2,Total,NA,NA,NA,NA,NA,NA,NA,0.15,0.1,0.05,reported
1879,LALT502,2019-08-07T07:00:00Z,Grab,samplewater,1,2,Total,NA,NA,NA,NA,NA,NA,NA,0.31,0.1,0.05,partial
1947,SMC00428,2017-06-15T07:00:00Z,Grab,samplewater,2,2,Total,NA,NA,NA,NA,NA,NA,NA,0.07,0.02,0.016,reported
1962,SMC00686,2019-08-07T07:00:00Z,Grab,samplewater,1,2,Total,NA,NA,NA,NA,NA,NA,NA,0.19899999999999998,0.02,0.016,reported
2010,SMC09534,2018-07-10T07:00:00Z,Grab,samplewater,1,2,Total,NA,NA,NA,NA,NA,NA,NA,0.162,0.02,0.016,reported
2015,SMC20032,2019-07-22T07:00:00Z,Grab,samplewater,1,2,Total,NA,NA,NA,NA,NA,NA,NA,0.222,0.02,0.016,reported
592,902M18917,2020-05-29T15:00:00Z,Grab,samplewater,1,1,Total,NA,NA,NA,6.0,0.2,0.0,reported,0.05,0.05,0.02,reported
1207,SMC01097,2020-05-29T18:30:00Z,Grab,samplewater,1,1,Total,NA,NA,NA,6.6,0.2,0.0,reported,0.05,0.05,0.02,reported
739,909M24969,2020-06-16T07:00:00Z,Grab,samplewater,1,1,Total,NA,NA,NA,0.0,0.3,0.054,reported,0.028999999999999998,0.02,0.012,reported
746,909WE0662,2020-06-16T07:00:00Z,Grab,samplewater,1,1,Total,NA,NA,NA,0.0,0.3,0.054,reported,0.018000000000000002,0.02,0.012,reported
748,910M24970,2020-05-11T07:00:00Z,Grab,samplewater,1,1,Total,NA,NA,NA,0.38,0.3,0.054,reported,0.016,0.02,0.012,reported
