"stationcode","yr","d_asci","csci","ipi","xcmg","pct_safn","ev_flowhab","h_aqhab","h_subnat","xcmg","tn","tp","blc","bs","hy","indexscore_cram","ps","comid"
"901M14145","2019","0.6285305635730942","0.72766531","0.74","0.24","0.72","0.59","0.77","0.8","0.24","0.113","0.0374","67.67","27.78","41.67","44","37.5","20350775"
"901M14149","2019","0.7938296406738676","0.64861394","0.73","0.17","0.66","0.73","0.8","0.82","0.17","0.7","0.205","93.29","69.44","66.67","73","62.5","20348571"
"903M20177","2017","1.0538410184173654","0.76368824","1.04","0.79","1","0.63","0.57","0.99","0.79","2.8","0.017","100","72.22","66.67","75","62.5","20341471"
"903M20177","2017","1.0538410184173654","0.76368824","1.04","0.79","1","0.63","0.57","0.99","0.79","2.8","0.016","100","72.22","66.67","75","62.5","20341471"
"903M20177","2017","1.0538410184173654","0.78420342","1.04","0.79","1","0.63","0.57","0.99","0.79","2.8","0.017","100","72.22","66.67","75","62.5","20341471"
"903M20177","2017","1.0538410184173654","0.78420342","1.04","0.79","1","0.63","0.57","0.99","0.79","2.8","0.016","100","72.22","66.67","75","62.5","20341471"
"903M20208","2017","0.5696049344318032","0.97621669","0.73","0.55","0.74","0.25","0.76","0.48","0.55","30.0","0.1","93.29","61.11","66.67","68","50","20341623"
"903M20213","2017","0.43855696596853394","1.03757337","0.97","1","0.61","0.44","0.89","0.48","1","9.8","0.044","90.29","80.56","50","71","62.5","20341649"
"905BCC","2014","1.0444476915466474","1.04821273","1.07","0.67","1","0.61","0.98","0.94","0.67","0.016","0.016","93.29","72.22","91.67","80","62.5","20329660"
"905BCC","2014","1.1922489480155372","1.04821273","1.07","0.67","1","0.61","0.98","0.94","0.67","0.016","0.016","93.29","72.22","91.67","80","62.5","20329660"
"905BCC","2014","1.0926280346871269","1.04821273","1.07","0.67","1","0.61","0.98","0.94","0.67","0.016","0.016","93.29","72.22","91.67","80","62.5","20329660"
"905BCC","2014","1.0444476915466474","1.04821273","1.02","0.6","1","0.5","0.95","0.99","0.6","0.016","0.016","93.29","72.22","91.67","80","62.5","20329660"
"905BCC","2014","1.1922489480155372","1.04821273","1.02","0.6","1","0.5","0.95","0.99","0.6","0.016","0.016","93.29","72.22","91.67","80","62.5","20329660"
"905BCC","2014","1.0926280346871269","1.04821273","1.02","0.6","1","0.5","0.95","0.99","0.6","0.016","0.016","93.29","72.22","91.67","80","62.5","20329660"
"905BCC","2014","1.0444476915466474","1.04821273","0.99","0.48","1","0.62","0.97","0.96","0.48","0.016","0.016","93.29","72.22","91.67","80","62.5","20329660"
"905BCC","2014","1.1922489480155372","1.04821273","0.99","0.48","1","0.62","0.97","0.96","0.48","0.016","0.016","93.29","72.22","91.67","80","62.5","20329660"
